time,SHARD_MEGALITH,SHARD_TIAMAT,ROBOTRON_REFLECTOR,ENCHANTMENT_PESTERMINATOR_1,SHARD_SHINYFISH,MOLTEN_POWDER,HEMOBOMB,SHARD_SEA_EMPEROR,SEARING_STONE,SHARD_LIZARD_KING,ENCHANTED_SULPHUR_CUBE,SHARD_HIDEONCAVE,ENCHANTED_COOKED_SALMON,SHARD_POWER_DRAGON,SHARD_CUBOA,ENCHANTED_DIAMOND_BLOCK,SHARD_SALAMANDER,ENCHANTMENT_ULTIMATE_WISE_2,JERRY_BOX_PURPLE,HORSEMAN_CANDLE,WHIPPED_MAGMA_CREAM,TITANIC_EXP_BOTTLE,DUNGEON_CHEST_KEY
2025-11-26 19:24:50,[257683.6031100478],[363149.2050341945],[224474.18798209782],[278948.9747505308],[284760.84498037765],[293155.26307057583],[270301.6925720039],[272426.3153533514],[238284.44123893807],[240395.69839357428],[253648.64226657644],[267540.85243319103],[253700.34528847996],[499143.1486978049],[260732.4760403531],[206141.23369773696],[245486.28568141593],[236346.45565007505],[244498.08509274875],[299660.45115111803],[201758.20537643202],[413149.32142441196],[219607.51497176575]
2025-11-26 21:34:11,[257684.07642450143],[363149.55645875254],[222044.06209558592],[286202.91854066995],[280029.30556027166],[252324.09029972798],[270177.410454251],[276232.7357418111],[231166.12450166114],[243450.36504219982],[253396.91696570624],[261184.99924826028],[253542.19448079087],[498763.50143148017],[256093.18078020934],[203742.13510435872],[245210.04146167554],[300605.78862607654],[244501.78308039377],[299731.0069505379],[201759.09553436155],[411742.7481567027],[219892.98337511148]
2025-11-26 21:35:22,[257684.07837643678],[363149.55645875254],[222042.95477700885],[286164.2147322143],[280029.30438187975],[252332.73909836085],[270177.410454251],[276232.7357418111],[231166.12450166114],[243450.36504219982],[253396.7734820277],[261186.16334313725],[253542.19448079087],[498662.6693330114],[256097.21614285719],[203862.33839844316],[245210.30452924396],[300605.0186335712],[244386.71908473223],[299731.0069505379],[201759.09553436155],[411134.83652154077],[219893.0654920126]
2025-11-26 21:43:34,[257684.07183444407],[363149.473525372],[222069.26345074247],[285183.8312698413],[280029.30894901615],[252120.78871992778],[270177.410454251],[276637.6010794897],[231508.54190556493],[243452.004370915],[253435.47192779655],[261265.73506750673],[253542.16690953972],[499039.93741182995],[256870.94239864868],[203852.150889854],[245211.88682987844],[297439.5485981665],[244443.50572874496],[299731.0069505379],[201759.50875256304],[409707.6961187873],[219893.05918979042]
2025-11-26 21:51:07,[257684.07183444407],[363149.04338040104],[222155.73077719274],[283057.0484599156],[280029.2694821413],[252114.72393878386],[270177.410454251],[275923.42668566003],[229629.42321981426],[243479.15601915185],[253432.70612417685],[261173.42832746994],[253542.16462193138],[498707.9826719499],[252905.87932203393],[204081.72015929528],[245212.47673025925],[306107.06901307905],[244443.50791321098],[299731.0069505379],[201759.370141446],[408716.1728771342],[219894.03107094712]
2025-11-26 21:58:39,[257683.83170126355],[363149.10299583914],[222315.57403538487],[284793.6796319123],[280029.27066262567],[252174.53157402156],[270177.410454251],[275842.42478713335],[229727.50505443237],[243562.14784961153],[253398.06648569272],[261238.870920336],[253542.0053542271],[498630.34141581855],[252733.6165640394],[204074.14075433818],[244992.37505432172],[303300.4264394129],[244445.30402997165],[299731.0069505379],[201759.17817889305],[408633.9041182089],[219893.91186398015]
2025-11-26 22:18:07,[257683.91012976138],[363148.56314285717],[219666.55302530024],[283922.033780211],[265158.49731594586],[249405.3073759196],[270219.959897167],[275903.0849620493],[233941.8386850153],[243628.99329405162],[253558.05307997833],[261998.21225154656],[253541.76879411793],[498474.5892618712],[252356.2202408257],[204594.50944508333],[244874.7887808527],[333868.91867475875],[244434.53905369487],[299731.00514873606],[201759.59106214865],[406752.0278113073],[219893.89651695758]
2025-11-26 22:31:07,[257683.76639676114],[363147.844684529],[219560.01394627127],[283178.48126230214],[265158.34604427323],[249307.85617924656],[267977.08610820974],[276923.41153304384],[229893.01598746082],[243737.21826620967],[253408.3372149442],[262088.62354616413],[253541.94525607163],[498686.0050680359],[253250.96192722375],[204054.40526032637],[244756.62892123283],[329273.0095567313],[244434.5419938516],[288322.6885822511],[201759.74046362747],[405747.5363068292],[219894.17901492736]
2025-11-26 22:41:19,[257683.65587843835],[363148.1305993085],[219835.49124826508],[283111.68304875435],[265158.03094603977],[248728.83137479698],[269967.1252313473],[277401.07903116883],[229059.4015060241],[243818.68769898702],[253367.05929681577],[262169.70270188415],[253541.9234215027],[498784.0233900929],[253945.9085714286],[204038.4037878723],[244797.38558303888],[326035.80573784636],[244374.48616978878],[288322.6885822511],[201759.67465311335],[405403.39890045964],[219553.60550264164]
2025-11-26 22:49:01,[257684.0405377456],[363148.1262197465],[219112.30385026697],[283148.26009844727],[265157.99485559564],[248697.15035384934],[269720.88337435666],[276572.6763209393],[229311.47549923195],[243906.14043146465],[253339.45251960878],[262170.9154674668],[253541.91925175866],[498786.6328668656],[251640.97273175544],[204039.44818831945],[244788.0551754386],[316491.34947681794],[244501.96135801976],[287556.87205560954],[201759.67264086343],[405815.07512462436],[219714.31088141038]
2025-11-26 22:55:43,[257683.34739328772],[363148.14701343095],[219078.96814836957],[282758.7880052859],[265157.97838074394],[248620.05576046737],[269720.88337435666],[276623.3725659229],[231268.69144838216],[244005.55380143115],[253339.4489632],[262174.6058876796],[253541.8114288709],[497818.56131461123],[251653.96434223544],[202964.23643682795],[244789.42544783984],[328181.4026958341],[244501.94927715822],[287556.82205560955],[201759.67259123476],[405656.87434574356],[219894.98956989247]
2025-11-26 23:13:29,[257683.2397696477],[363148.0988454943],[218890.70789531473],[292603.33112425264],[265158.00953082053],[248614.94521108305],[269767.22846975084],[278119.8763350785],[231546.1757456829],[244026.57107388577],[253323.33652563207],[262469.2711395297],[253541.6273397222],[495691.1645238239],[251592.9417168675],[202653.64712790935],[244824.18424089433],[321991.83309238113],[244501.92274581426],[287503.6250987182],[201759.87379146199],[405294.3006741423],[226295.18470507103]
2025-11-26 23:33:05,[257683.23394308944],[363147.9746254396],[218787.74267759005],[291874.1173894173],[265157.80598894163],[248454.88266843904],[269767.22907028464],[278081.29068062827],[231746.26006339147],[244123.927194048],[253314.04631239962],[255728.47610675462],[253700.54316423042],[495919.57902863494],[252664.03729662078],[203608.3561770076],[244617.3856573705],[338622.70929848123],[244501.98190521012],[287455.19943622325],[201759.6794060319],[405765.76096795214],[226295.24396910073]
2025-11-26 23:44:38,[257683.23394308944],[363147.6573408969],[218158.79087211366],[291906.67118748464],[265157.72075206344],[248454.963820348],[269767.2296708185],[278081.29068062827],[231847.7689490446],[244127.9336190436],[253314.54037037038],[255891.61078695575],[253700.44064167267],[495062.9200580998],[252670.8237468672],[202642.6241761996],[244522.01645683835],[332606.7196471704],[244501.9789495451],[287455.24904438213],[201759.91158764675],[405011.6093734291],[226295.2422625107]
2025-11-26 23:51:58,[257683.28394308942],[363147.65191997855],[218127.9741757955],[293084.5208590815],[265157.82624953677],[248455.1073687351],[269767.2299710854],[278636.87743837084],[232123.26661290321],[244127.9336190436],[253313.9617727521],[255871.00656035516],[253649.85066964285],[495294.47053476155],[252677.62722710165],[202625.68375991576],[244887.63396089204],[327064.01726096723],[244501.9789495451],[287455.24904438213],[201759.90740530496],[402999.3304272355],[226295.21728850264]
2025-11-26 23:59:04,[257683.28656538067],[363147.88818445103],[218208.76818566263],[292507.0987638534],[265157.80447897094],[248441.84734705783],[269751.84297971916],[278875.7938786565],[232123.26467741936],[244131.8946609557],[253288.6775356921],[255874.5950552206],[253649.6422346737],[494989.34534448787],[252711.90233585858],[202515.80066622182],[244881.43781216128],[334969.7006257449],[244501.9789495451],[287455.24904438213],[201759.83875176357],[402756.71099731384],[226295.1397109044]
2025-11-27 00:19:39,[257683.28714090286],[363147.8857730896],[218233.8840084733],[289679.38771809],[265157.76409104536],[248459.076103885],[269751.8435814575],[279594.9099104143],[234263.6965909091],[244135.8603285671],[253288.71877994697],[255877.88433735925],[253648.8719580606],[495167.68096918793],[252711.90233585858],[202399.66265001858],[244885.56690513],[330275.72611867904],[244501.79201819687],[287338.79744627746],[201759.87705472732],[397566.6559417279],[226291.31073989102]
2025-11-27 00:32:08,[257683.28934595524],[363147.8665599157],[217639.33001634656],[287118.2586243135],[265157.81970870204],[249285.2557334341],[269736.39363555156],[279594.9179506153],[234405.96519607844],[244143.78620164483],[253308.64723358658],[255883.2846965775],[253648.56179482874],[495143.69320143166],[252623.66018633542],[202482.5167003678],[244891.7727669701],[321941.2832180872],[244501.79201819687],[287338.79744627746],[201831.5338257965],[396631.71720456146],[226290.92097557205]
2025-11-27 00:42:18,[257683.29217285666],[363147.80417419306],[217878.5186127642],[283750.98040889174],[265157.6695449004],[252072.13150612498],[269736.3937360429],[278875.7965559106],[234622.88836633664],[244145.7258074345],[253284.96590455936],[256001.38442188644],[253648.1125507717],[494988.98900235165],[253621.1353460972],[202644.24700336752],[244675.24823829765],[320013.2606665371],[244501.79201819687],[287338.79744627746],[201948.18013773503],[396213.2269121458],[226290.48792978382]
2025-11-27 00:49:27,[257683.19682539682],[363147.8040229643],[217959.92746477821],[283633.55742151977],[264390.97265715385],[253074.86582161207],[269965.0309425785],[279496.39799331105],[234732.96865671643],[243660.92471735444],[253283.8320819689],[255824.5231958429],[253647.58977248636],[495029.57926264574],[253630.53451327435],[202646.767700585],[244683.29046984686],[319101.44896225084],[244501.79201819687],[287338.79744627746],[201881.20985803852],[395027.8936747618],[226290.33211822814]
2025-11-27 00:56:35,[257683.16929993578],[363147.80489087803],[217636.6871621306],[283300.332264391],[264412.82800203934],[253086.898320075],[269751.84207711165],[279374.3104914536],[234956.44824120603],[243660.97471735443],[253282.54078344215],[254804.8204956036],[253647.2539625918],[494323.5628355519],[253630.53451327435],[202645.39669622647],[244683.29046984686],[427085.05851838243],[244501.79201819687],[287338.79744627746],[201881.86827035598],[394537.34044137056],[226289.99087367737]
2025-11-27 02:10:59,[257683.0401871102],[363147.43642136396],[217797.266788698],[276391.4559985815],[257868.6713242279],[252796.83443824435],[269767.22846975084],[281047.1759571751],[233156.95069337444],[242372.24094788858],[253371.4389479101],[254230.73273860992],[253454.5713226744],[493143.00603809557],[251871.3659722222],[202290.64981516608],[244952.31874728145],[401834.1341804517],[244501.85120232173],[287333.987766346],[201923.34750818906],[397888.4430843513],[226287.0780285126]
2025-11-27 03:48:39,[238721.67503937008],[363145.9182985036],[217984.16829991603],[275038.8656225917],[273761.3789821289],[253089.06874878728],[277337.83507030044],[273935.01058603893],[226535.6340544872],[242598.6463093559],[253392.65096263116],[255011.91287222013],[253323.010528641],[492036.72546499164],[255646.7357283465],[202574.90364686854],[245263.87880324543],[372205.70367889886],[244453.48882643884],[286913.8281503625],[202304.6766529868],[413569.2619523312],[226286.01784923757]
2025-11-27 04:37:07,[238721.53651737937],[363145.9096962241],[218106.91511570982],[278295.2812475682],[265993.85839660565],[253304.42654058037],[277337.1914024035],[273665.12639069895],[226796.85073289904],[242077.72946939638],[253352.42482348572],[255021.20726963744],[253270.85803073575],[490970.88708669395],[251861.25751351353],[202476.5036041857],[245258.42942105263],[370262.15331929043],[244453.48827077748],[364391.2804545454],[202304.89455423804],[413258.1813638902],[226285.60343616473]
2025-11-27 04:58:24,[238721.54058057469],[363145.9096962241],[218058.0023719645],[278343.1533378349],[266014.1948536139],[269517.3623574445],[277337.4045842218],[271912.9738978857],[226796.79600977202],[242153.3617142244],[253331.06948712136],[255111.7937957204],[253270.7374313564],[490890.15108327183],[251978.89711751664],[202247.28852451104],[245262.30237341768],[362893.1594371656],[244453.48929118563],[364391.2804545454],[202304.83666509323],[413139.81239528133],[226309.9660289387]
2025-11-27 05:24:20,[238721.58791901014],[362956.80585657374],[218118.9413016273],[277008.2697811448],[266318.5725481416],[255105.067412013],[277338.36536430835],[272270.0067439738],[227345.63846801347],[242153.3617142244],[253335.4327134979],[255193.1173774872],[253270.62756026085],[490548.1999180413],[252364.48705035972],[202240.9579153406],[245265.26159535127],[351521.93527549785],[244453.48904000822],[364391.23045454547],[202304.88601011317],[413136.4247049343],[226321.11486482696]
2025-11-27 05:43:41,[241285.11645313556],[362633.15174295695],[218193.2124489379],[279241.3024390669],[265549.32422783796],[274466.72203882155],[277338.3672650475],[271755.5243753161],[226561.30601926165],[242181.48481545434],[253145.7319566331],[255196.57432398206],[253270.61664620903],[490412.61960754497],[252382.95418600654],[202235.6815564282],[245333.91674577887],[351616.48315049405],[244453.57467767928],[364391.23045454547],[202304.9459024762],[412723.80322373274],[226307.3882456616]
2025-11-27 05:54:06,[241285.1133483146],[367231.7547714136],[218124.02657325414],[279268.81789558416],[265555.3630270408],[259775.15889694332],[277337.7278427205],[271028.9310273014],[226823.3736541599],[242181.4395100367],[253144.379992641],[255250.03389351495],[253270.61504850903],[490979.11000744114],[257387.9863855422],[202226.405082801],[245418.10953448457],[350135.70267784223],[244453.57467767928],[364391.23045454547],[202304.79379276634],[413143.53351033217],[226312.5554065086]
2025-11-27 06:11:03,[241284.781842019],[367084.6836731477],[218281.08746054134],[277956.961511294],[265559.27413664764],[274938.2455579851],[277338.3691657867],[271056.9423280313],[227149.37878535775],[242182.45034542313],[253129.02299314956],[255521.7059639615],[253270.60883088032],[490768.3439848459],[257387.9863855422],[202432.4130108576],[245292.69443150976],[348736.5041635165],[244453.57467767928],[364391.23045454547],[202304.69917906122],[413141.05945444346],[226314.3649470456]
2025-11-27 06:34:10,[241284.76381159906],[367128.87567209057],[218193.8474532351],[276886.65459587506],[266968.00385906035],[273273.16374151275],[277338.05095338984],[271103.7486313738],[227634.20162671234],[242231.4645069808],[253108.84215083957],[255523.94002811046],[253270.59943569824],[490581.33256401],[257928.6142476698],[202409.3561029756],[245293.91431024612],[347312.52048868546],[244453.57467767928],[364391.23045454547],[202304.6966380504],[412645.42271760845],[226314.76397436042]
